x,sdf,area,ode
0.61677825,0.38322172,1e-04,0.0
0.7714621,0.2285379,1e-04,0.0
0.78814405,0.21185593,1e-04,0.0
0.53045547,0.46954453,1e-04,0.0
0.06278196,0.06278196,1e-04,0.0
0.7130146,0.28698537,1e-04,0.0
0.2182409,0.2182409,1e-04,0.0
0.23961948,0.23961948,1e-04,0.0
0.4878055,0.4878055,1e-04,0.0
0.892662,0.107338026,1e-04,0.0
0.6864379,0.31356212,1e-04,0.0
0.8182078,0.1817922,1e-04,0.0
0.048491124,0.048491124,1e-04,0.0
0.4190963,0.4190963,1e-04,0.0
0.8205625,0.17943755,1e-04,0.0
0.45165032,0.45165032,1e-04,0.0
0.1478276,0.1478276,1e-04,0.0
0.69592637,0.3040736,1e-04,0.0
0.057090964,0.057090964,1e-04,0.0
0.82810295,0.17189707,1e-04,0.0
0.3217717,0.3217717,1e-04,0.0
0.38125625,0.38125625,1e-04,0.0
0.8490644,0.15093558,1e-04,0.0
0.48536405,0.48536405,1e-04,0.0
0.26503772,0.26503772,1e-04,0.0
0.92492104,0.075078934,1e-04,0.0
0.49968138,0.49968138,1e-04,0.0
0.47930387,0.47930387,1e-04,0.0
0.33749,0.33749,1e-04,0.0
0.42335144,0.42335144,1e-04,0.0
0.3363466,0.3363466,1e-04,0.0
0.38420233,0.38420233,1e-04,0.0
0.48904967,0.48904967,1e-04,0.0
0.0050972844,0.0050972844,1e-04,0.0
0.9574368,0.042563174,1e-04,0.0
0.9032618,0.096738234,1e-04,0.0
0.9473683,0.052631654,1e-04,0.0
0.4540965,0.4540965,1e-04,0.0
0.38467267,0.38467267,1e-04,0.0
0.5159851,0.48401493,1e-04,0.0
0.6276162,0.37238374,1e-04,0.0
0.93232536,0.067674614,1e-04,0.0
0.0482706,0.0482706,1e-04,0.0
0.11095509,0.11095509,1e-04,0.0
0.53726333,0.46273667,1e-04,0.0
0.547263,0.45273694,1e-04,0.0
0.02491387,0.02491387,1e-04,0.0
0.7493048,0.25069523,1e-04,0.0
0.8804327,0.11956725,1e-04,0.0
0.5024287,0.4975713,1e-04,0.0
0.029537097,0.029537097,1e-04,0.0
0.3317308,0.3317308,1e-04,0.0
0.73072386,0.26927614,1e-04,0.0
0.3473415,0.3473415,1e-04,0.0
0.19554648,0.19554648,1e-04,0.0
0.21327436,0.21327436,1e-04,0.0
0.34597757,0.34597757,1e-04,0.0
0.642627,0.357373,1e-04,0.0
0.18140204,0.18140204,1e-04,0.0
0.25619322,0.25619322,1e-04,0.0
0.97543466,0.024565356,1e-04,0.0
0.45822126,0.45822126,1e-04,0.0
0.8111857,0.18881431,1e-04,0.0
0.7724967,0.2275033,1e-04,0.0
0.5659457,0.4340543,1e-04,0.0
0.57858044,0.42141956,1e-04,0.0
0.85399413,0.14600584,1e-04,0.0
0.769862,0.230138,1e-04,0.0
0.640521,0.35947904,1e-04,0.0
0.8453636,0.15463638,1e-04,0.0
0.5384728,0.46152726,1e-04,0.0
0.30445114,0.30445114,1e-04,0.0
0.025028609,0.025028609,1e-04,0.0
0.93886614,0.061133884,1e-04,0.0
0.6171658,0.38283423,1e-04,0.0
0.61883503,0.38116497,1e-04,0.0
0.11383875,0.11383875,1e-04,0.0
0.68706083,0.31293914,1e-04,0.0
0.055792198,0.055792198,1e-04,0.0
0.20570622,0.20570622,1e-04,0.0
0.997354,0.002646055,1e-04,0.0
0.015864136,0.015864136,1e-04,0.0
0.4778332,0.4778332,1e-04,0.0
0.23274232,0.23274232,1e-04,0.0
0.81875974,0.18124026,1e-04,0.0
0.47311443,0.47311443,1e-04,0.0
0.8481675,0.15183252,1e-04,0.0
0.8263717,0.17362827,1e-04,0.0
0.96311074,0.03688925,1e-04,0.0
0.5137108,0.48628917,1e-04,0.0
0.023857662,0.023857662,1e-04,0.0
0.5173477,0.4826523,1e-04,0.0
0.67916095,0.32083908,1e-04,0.0
0.79244053,0.2075595,1e-04,0.0
0.20692086,0.20692086,1e-04,0.0
0.5558911,0.4441089,1e-04,0.0
0.8155135,0.18448654,1e-04,0.0
0.1254536,0.1254536,1e-04,0.0
0.8073874,0.19261256,1e-04,0.0
0.78227764,0.21772236,1e-04,0.0
0.7124828,0.2875172,1e-04,0.0
0.2033072,0.2033072,1e-04,0.0
0.44904804,0.44904804,1e-04,0.0
0.033683773,0.033683773,1e-04,0.0
0.36384198,0.36384198,1e-04,0.0
0.7660073,0.23399271,1e-04,0.0
0.6982252,0.3017748,1e-04,0.0
0.36973932,0.36973932,1e-04,0.0
0.62839836,0.37160167,1e-04,0.0
0.46373242,0.46373242,1e-04,0.0
0.23596947,0.23596947,1e-04,0.0
0.44257215,0.44257215,1e-04,0.0
0.53109664,0.46890333,1e-04,0.0
0.85765684,0.14234315,1e-04,0.0
0.17786781,0.17786781,1e-04,0.0
0.12422821,0.12422821,1e-04,0.0
0.4367593,0.4367593,1e-04,0.0
0.6472237,0.35277632,1e-04,0.0
0.58186954,0.41813046,1e-04,0.0
0.88049847,0.119501516,1e-04,0.0
0.34118167,0.34118167,1e-04,0.0
0.9729707,0.027029276,1e-04,0.0
0.51980615,0.48019388,1e-04,0.0
0.064329445,0.064329445,1e-04,0.0
0.2395244,0.2395244,1e-04,0.0
0.9790763,0.020923685,1e-04,0.0
0.73168194,0.2683181,1e-04,0.0
0.9008806,0.099119455,1e-04,0.0
0.5879966,0.41200337,1e-04,0.0
0.6719465,0.32805344,1e-04,0.0
0.47606546,0.47606546,1e-04,0.0
0.6638673,0.3361327,1e-04,0.0
0.28940597,0.28940597,1e-04,0.0
0.31386268,0.31386268,1e-04,0.0
0.6301504,0.36984962,1e-04,0.0
0.25536737,0.25536737,1e-04,0.0
0.36486462,0.36486462,1e-04,0.0
0.8147916,0.18520835,1e-04,0.0
